Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
1332,Reda Khadra,de GER,"FW,MF",Reims,fr Ligue 1,22,2001,29,14,1368,15.2,1,3,4,1,0,0,1,0,1.8,1.8,3.5,5.4,35,40,110,0.07,0.20,0.26,0.07,0.26,0.12,0.23,0.35,0.12,0.35
1333,Wahbi Khazri,tn TUN,FW,Montpellier,fr Ligue 1,32,1991,25,13,1131,12.6,1,0,1,1,0,0,6,0,3.3,3.3,1.2,4.5,27,33,76,0.08,0.00,0.08,0.08,0.08,0.26,0.10,0.36,0.26,0.36
1334,Rani Khedira,de GER,MF,Union Berlin,de Bundesliga,29,1994,20,18,1343,14.9,0,0,0,0,0,0,5,1,0.4,0.4,0.1,0.5,6,35,15,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03
1335,Abdukodir Khusanov,uz UZB,DF,Lens,fr Ligue 1,19,2004,11,9,809,9.0,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.2,5,23,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
1336,Kiké,es ESP,"FW,MF",Alavés,es La Liga,33,1989,33,15,1423,15.8,3,2,5,3,0,1,3,0,7.7,6.9,2.0,8.9,18,32,97,0.19,0.13,0.32,0.19,0.32,0.49,0.13,0.61,0.44,0.56
1337,Luca Kilian,de GER,DF,Köln,de Bundesliga,23,1999,13,6,635,7.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,7,12,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
1338,Max Kilman,eng ENG,DF,Wolves,eng Premier League,26,1997,38,38,3420,38.0,2,0,2,2,0,0,7,0,1.8,1.8,1.4,3.2,22,117,5,0.05,0.00,0.05,0.05,0.05,0.05,0.04,0.08,0.05,0.08
1339,Joshua Kimmich,de GER,"MF,DF",Bayern Munich,de Bundesliga,28,1995,28,27,2176,24.2,1,6,7,1,0,0,1,1,1.1,1.1,7.1,8.3,56,229,114,0.04,0.25,0.29,0.04,0.29,0.05,0.30,0.34,0.05,0.34
1340,Jakub Kiwior,pl POL,DF,Arsenal,eng Premier League,23,2000,20,11,946,10.5,1,3,4,1,0,0,1,0,0.8,0.8,0.9,1.7,4,55,16,0.10,0.29,0.38,0.10,0.38,0.08,0.09,0.16,0.08,0.16
1341,Simon Kjær,dk DEN,DF,Milan,it Serie A,34,1989,20,14,1171,13.0,0,1,1,0,0,0,1,0,0.5,0.5,0.8,1.3,4,52,0,0.00,0.08,0.08,0.00,0.08,0.04,0.06,0.10,0.04,0.10
1342,Davy Klaassen,nl NED,MF,Inter,it Serie A,30,1993,13,1,206,2.3,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,1,7,5,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.13,0.04,0.13
1343,Christoph Klarer,at AUT,DF,Darmstadt 98,de Bundesliga,23,2000,30,28,2354,26.2,2,2,4,2,0,0,9,0,1.2,1.2,0.9,2.1,9,64,11,0.08,0.08,0.15,0.08,0.15,0.05,0.04,0.08,0.05,0.08
1344,Tim Kleindienst,de GER,FW,Heidenheim,de Bundesliga,27,1995,33,33,2869,31.9,12,3,15,10,2,2,6,0,13.9,12.3,3.3,15.6,40,73,178,0.38,0.09,0.47,0.31,0.41,0.44,0.10,0.54,0.39,0.49
1345,Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,27,1996,25,16,1436,16.0,1,0,1,1,0,0,3,0,0.7,0.7,0.4,1.1,14,90,13,0.06,0.00,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07
1346,Justin Kluivert,nl NED,"MF,FW",Bournemouth,eng Premier League,24,1999,32,26,1916,21.3,7,1,8,7,0,0,5,0,6.2,6.2,1.9,8.1,65,50,114,0.33,0.05,0.38,0.33,0.38,0.29,0.09,0.38,0.29,0.38
1347,Ansgar Knauff,de GER,"MF,DF",Eint Frankfurt,de Bundesliga,21,2002,31,24,2109,23.4,7,2,9,7,0,0,7,1,5.7,5.7,2.3,8.0,77,57,164,0.30,0.09,0.38,0.30,0.38,0.24,0.10,0.34,0.24,0.34
1348,Robin Knoche,de GER,DF,Union Berlin,de Bundesliga,31,1992,24,20,1917,21.3,1,0,1,1,0,1,1,0,1.2,0.4,0.3,0.7,2,71,2,0.05,0.00,0.05,0.05,0.05,0.06,0.01,0.07,0.02,0.03
1349,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,25,1997,27,27,2365,26.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1350,Robin Koch,de GER,DF,Eint Frankfurt,de Bundesliga,27,1996,31,31,2738,30.4,2,0,2,2,0,0,10,0,3.1,3.1,0.2,3.3,14,116,3,0.07,0.00,0.07,0.07,0.07,0.10,0.01,0.11,0.10,0.11
1351,Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,25,1998,22,22,1980,22.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1352,Dominik Kohr,de GER,"DF,MF",Mainz 05,de Bundesliga,29,1994,31,27,2184,24.3,1,0,1,1,0,0,15,1,1.6,1.6,1.2,2.8,19,99,26,0.04,0.00,0.04,0.04,0.04,0.07,0.05,0.12,0.07,0.12
1353,Koke,es ESP,MF,Atlético Madrid,es La Liga,31,1992,35,32,2493,27.7,0,4,4,0,0,0,5,0,0.4,0.4,3.6,4.1,26,212,26,0.00,0.14,0.14,0.00,0.14,0.02,0.13,0.15,0.02,0.15
1354,Sead Kolašinac,ba BIH,DF,Atalanta,it Serie A,30,1993,30,25,2178,24.2,1,0,1,1,0,0,4,0,1.3,1.3,1.1,2.4,32,94,30,0.04,0.00,0.04,0.04,0.04,0.06,0.04,0.10,0.06,0.10
1355,Luca Koleosho,it ITA,"MF,FW",Burnley,eng Premier League,18,2004,15,13,974,10.8,1,1,2,1,0,0,0,0,2.0,2.0,1.3,3.3,53,19,82,0.09,0.09,0.18,0.09,0.18,0.18,0.12,0.30,0.18,0.30
1356,Randal Kolo Muani,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,24,1998,26,13,1268,14.1,6,5,11,6,0,0,1,0,6.1,6.1,3.3,9.4,36,42,125,0.43,0.35,0.78,0.43,0.78,0.43,0.23,0.66,0.43,0.66
1357,Randal Kolo Muani,fr FRA,FW,Eint Frankfurt,de Bundesliga,24,1998,2,2,153,1.7,1,0,1,1,0,0,0,0,1.3,1.3,0.0,1.3,6,3,9,0.59,0.00,0.59,0.59,0.59,0.77,0.00,0.77,0.77,0.77
1358,Mert Kömür,de GER,"MF,DF",Augsburg,de Bundesliga,18,2005,4,1,118,1.3,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,7,4,9,0.76,0.00,0.76,0.76,0.76,0.15,0.02,0.17,0.15,0.17
1359,Cheick Konaté,ml MLI,DF,Clermont Foot,fr Ligue 1,19,2004,19,12,1068,11.9,1,1,2,1,0,0,4,0,0.5,0.5,1.6,2.1,22,37,86,0.08,0.08,0.17,0.08,0.17,0.04,0.13,0.18,0.04,0.18
1360,Ibrahima Konaté,fr FRA,DF,Liverpool,eng Premier League,24,1999,22,17,1574,17.5,0,0,0,0,0,0,5,1,0.7,0.7,0.4,1.1,24,118,3,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
1361,Geoffrey Kondogbia,cf CTA,MF,Marseille,fr Ligue 1,30,1993,26,15,1463,16.3,0,0,0,0,0,0,3,0,0.4,0.4,0.5,0.9,7,93,25,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.06,0.02,0.06
1362,Abdoul Koné,fr FRA,DF,Reims,fr Ligue 1,18,2005,3,3,193,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,3,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.30
1363,Amadou Koné,ml MLI,MF,Reims,fr Ligue 1,18,2005,16,4,475,5.3,0,0,0,0,0,0,4,1,0.3,0.3,0.2,0.4,2,28,2,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08
1364,Ibrahima Koné,ml MLI,FW,Almería,es La Liga,24,1999,9,2,277,3.1,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,5,3,18,0.00,0.00,0.00,0.00,0.00,0.14,0.03,0.17,0.14,0.17
1365,Ibrahima Koné,ml MLI,FW,Lorient,fr Ligue 1,24,1999,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1366,Manu Koné,fr FRA,MF,Gladbach,de Bundesliga,22,2001,22,18,1561,17.3,1,0,1,1,0,0,4,1,1.2,1.2,1.2,2.4,42,70,56,0.06,0.00,0.06,0.06,0.06,0.07,0.07,0.14,0.07,0.14
1367,Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,25,1997,35,35,3069,34.1,1,0,1,1,0,0,5,0,2.5,2.5,0.5,3.0,37,136,33,0.03,0.00,0.03,0.03,0.03,0.07,0.02,0.09,0.07,0.09
1368,Teun Koopmeiners,nl NED,MF,Atalanta,it Serie A,25,1998,34,29,2627,29.2,12,5,17,10,2,2,5,0,6.5,5.0,5.9,10.9,79,169,190,0.41,0.17,0.58,0.34,0.51,0.22,0.20,0.43,0.17,0.37
1369,Odilon Kossonou,ci CIV,DF,Leverkusen,de Bundesliga,22,2001,22,21,1811,20.1,1,0,1,1,0,0,3,0,0.6,0.6,0.7,1.3,48,141,23,0.05,0.00,0.05,0.05,0.05,0.03,0.03,0.06,0.03,0.06
1370,Filip Kostić,rs SRB,DF,Juventus,it Serie A,30,1992,29,26,1815,20.2,0,4,4,0,0,0,2,0,0.7,0.7,5.4,6.1,64,88,95,0.00,0.20,0.20,0.00,0.20,0.03,0.27,0.30,0.03,0.30
1371,Christian Kouamé,ci CIV,FW,Fiorentina,it Serie A,25,1997,23,11,1089,12.1,2,1,3,2,0,0,0,0,1.9,1.9,1.8,3.7,12,41,110,0.17,0.08,0.25,0.17,0.25,0.16,0.15,0.31,0.16,0.31
1372,Rominigue Kouamé,ml MLI,MF,Cádiz,es La Liga,26,1996,16,9,821,9.1,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,16,34,5,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
1373,Koffi Kouao,ci CIV,DF,Metz,fr Ligue 1,25,1998,13,10,860,9.6,0,2,2,0,0,0,2,0,0.2,0.2,1.5,1.7,10,29,29,0.00,0.21,0.21,0.00,0.21,0.02,0.16,0.18,0.02,0.18
1374,Tomáš Koubek,cz CZE,GK,Augsburg,de Bundesliga,30,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1375,Therence Koudou,fr FRA,DF,Reims,fr Ligue 1,18,2004,9,3,314,3.5,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.3,8,14,21,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09
1376,Jules Koundé,fr FRA,DF,Barcelona,es La Liga,24,1998,35,32,2899,32.2,1,2,3,1,0,0,4,0,2.0,2.0,2.2,4.2,67,245,64,0.03,0.06,0.09,0.03,0.09,0.06,0.07,0.13,0.06,0.13
1377,Boubakar Kouyaté,ml MLI,DF,Montpellier,fr Ligue 1,26,1997,23,22,1928,21.4,0,2,2,0,0,0,5,1,0.8,0.8,1.3,2.1,4,58,3,0.00,0.09,0.09,0.00,0.09,0.04,0.06,0.10,0.04,0.10
1378,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,eng Premier League,33,1989,12,2,212,2.4,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,0,5,5,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.14,0.12,0.14
1379,Mateo Kovačić,hr CRO,MF,Manchester City,eng Premier League,29,1994,30,16,1551,17.2,1,0,1,1,0,0,4,0,1.3,1.3,1.6,2.9,37,100,38,0.06,0.00,0.06,0.06,0.06,0.07,0.09,0.17,0.07,0.17
1380,Viktor Kovalenko,ua UKR,MF,Empoli,it Serie A,27,1996,17,4,613,6.8,1,1,2,1,0,0,1,0,0.9,0.9,0.8,1.7,4,20,24,0.15,0.15,0.29,0.15,0.29,0.14,0.12,0.25,0.14,0.25
1381,Matej Kovar,cz CZE,GK,Leverkusen,de Bundesliga,23,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1382,Dawid Kownacki,pl POL,FW,Werder Bremen,de Bundesliga,26,1997,22,3,380,4.2,0,0,0,0,0,0,0,0,1.3,1.3,0.4,1.6,5,10,26,0.00,0.00,0.00,0.00,0.00,0.31,0.08,0.39,0.31,0.39
1383,Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,28,1994,17,8,913,10.1,0,0,0,0,0,0,2,0,0.2,0.2,1.0,1.2,12,29,33,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12
1384,Alex Král,cz CZE,MF,Union Berlin,de Bundesliga,25,1998,24,13,1370,15.2,0,0,0,0,0,0,2,0,1.7,1.7,0.4,2.0,15,44,41,0.00,0.00,0.00,0.00,0.00,0.11,0.02,0.13,0.11,0.13
1385,Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,de Bundesliga,32,1991,30,25,2199,24.4,15,6,21,10,5,5,4,0,11.1,7.1,7.3,14.5,71,119,175,0.61,0.25,0.86,0.41,0.65,0.45,0.30,0.75,0.29,0.59
1386,Christoph Kramer,de GER,MF,Gladbach,de Bundesliga,32,1991,14,1,249,2.8,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,10,17,8,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09
1387,Frans Krätzig,de GER,DF,Bayern Munich,de Bundesliga,20,2003,4,0,56,0.6,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.5,0,7,7,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.84,0.42,0.84
1388,Tom Krauß,de GER,MF,Mainz 05,de Bundesliga,22,2001,29,13,1346,15.0,1,2,3,1,0,0,5,0,0.8,0.8,0.4,1.2,12,68,29,0.07,0.13,0.20,0.07,0.20,0.05,0.03,0.08,0.05,0.08
1389,Rasmus Kristensen,dk DEN,DF,Roma,it Serie A,26,1997,29,19,1744,19.4,1,1,2,1,0,0,5,0,0.5,0.5,0.9,1.5,16,40,115,0.05,0.05,0.10,0.05,0.10,0.03,0.05,0.08,0.03,0.08
1390,Thomas Kristensen,dk DEN,DF,Udinese,it Serie A,21,2002,26,23,2096,23.3,0,1,1,0,0,0,4,1,1.1,1.1,0.4,1.5,20,47,3,0.00,0.04,0.04,0.00,0.04,0.05,0.02,0.06,0.05,0.06
1391,Toni Kroos,de GER,MF,Real Madrid,es La Liga,33,1990,33,24,2124,23.6,1,8,9,1,0,0,3,0,1.6,1.6,4.9,6.5,32,290,29,0.04,0.34,0.38,0.04,0.38,0.07,0.21,0.28,0.07,0.28
1392,Nikola Krstović,me MNE,FW,Lecce,it Serie A,23,2000,35,30,2373,26.4,7,1,8,6,1,3,4,1,11.6,9.2,3.0,12.3,32,52,126,0.27,0.04,0.30,0.23,0.27,0.44,0.11,0.55,0.35,0.46
1393,Rade Krunić,ba BIH,MF,Milan,it Serie A,29,1993,10,8,687,7.6,0,0,0,0,0,0,3,0,0.1,0.1,0.5,0.6,5,24,3,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.08,0.02,0.08
1394,Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,30,1992,26,22,1847,20.5,1,0,1,1,0,0,7,0,0.6,0.6,0.3,0.9,13,70,32,0.05,0.00,0.05,0.05,0.05,0.03,0.02,0.04,0.03,0.04
1395,Takefusa Kubo,jp JPN,"FW,MF",Real Sociedad,es La Liga,22,2001,30,24,2150,23.9,7,4,11,7,0,0,1,0,3.5,3.5,6.4,9.9,136,89,231,0.29,0.17,0.46,0.29,0.46,0.15,0.27,0.42,0.15,0.42
1396,Mahmut Kücüksahin,,MF,Augsburg,de Bundesliga,19,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1397,Mohammed Kudus,gh GHA,"FW,MF",West Ham,eng Premier League,22,2000,33,27,2484,27.6,8,6,14,8,0,0,6,0,5.1,5.1,3.5,8.6,117,80,216,0.29,0.22,0.51,0.29,0.51,0.19,0.13,0.31,0.19,0.31
1398,Christian Kühlwetter,de GER,MF,Heidenheim,de Bundesliga,27,1996,1,0,8,0.1,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,1,0,0,0.00,11.25,11.25,0.00,11.25,0.00,6.85,6.85,0.00,6.85
1399,Dejan Kulusevski,se SWE,"FW,MF",Tottenham,eng Premier League,23,2000,36,31,2762,30.7,8,3,11,8,0,0,7,0,4.7,4.7,7.7,12.4,151,144,388,0.26,0.10,0.36,0.26,0.36,0.15,0.25,0.40,0.15,0.40
1400,Sael Kumbedi,fr FRA,DF,Lyon,fr Ligue 1,18,2005,17,8,924,10.3,0,1,1,0,0,0,3,0,0.2,0.2,0.7,1.0,19,42,75,0.00,0.10,0.10,0.00,0.10,0.02,0.07,0.09,0.02,0.09
1401,Marash Kumbulla,al ALB,DF,Sassuolo,it Serie A,23,2000,7,3,362,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1402,Justin Kumi,it ITA,FW,Sassuolo,it Serie A,19,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1403,Layvin Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,30,1992,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1404,Berkan Kutlu,tr TUR,MF,Genoa,it Serie A,25,1998,6,0,199,2.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,4,5,9,0.00,0.00,0.00,0.00,0.00,0.07,0.13,0.20,0.07,0.20
1405,Daler Kuzyaev,ru RUS,MF,Le Havre,fr Ligue 1,30,1993,30,24,2090,23.2,2,2,4,2,0,0,1,0,1.8,1.8,1.3,3.2,23,119,97,0.09,0.09,0.17,0.09,0.17,0.08,0.06,0.14,0.08,0.14
1406,Khvicha Kvaratskhelia,ge GEO,FW,Napoli,it Serie A,22,2001,34,32,2737,30.4,11,6,17,11,0,0,8,0,11.1,11.1,6.8,17.9,184,89,266,0.36,0.20,0.56,0.36,0.56,0.37,0.23,0.59,0.36,0.59
1407,Giorgi Kvernadze,ge GEO,"FW,DF",Frosinone,it Serie A,20,2003,5,0,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1408,Moritz-Broni Kwarteng,gh GHA,FW,Bochum,de Bundesliga,25,1998,11,2,281,3.1,0,1,1,0,0,0,1,1,1.0,1.0,0.5,1.6,8,6,24,0.00,0.32,0.32,0.00,0.32,0.33,0.17,0.51,0.33,0.51
1409,Grejohn Kyei,fr FRA,FW,Clermont Foot,fr Ligue 1,27,1995,26,10,1026,11.4,2,1,3,1,1,1,1,0,4.9,4.1,1.2,5.3,12,30,85,0.18,0.09,0.26,0.09,0.18,0.43,0.11,0.54,0.36,0.47
1410,Giorgos Kyriakopoulos,gr GRE,DF,Monza,it Serie A,27,1996,28,20,1712,19.0,0,3,3,0,0,0,3,0,1.2,1.2,1.4,2.6,64,70,94,0.00,0.16,0.16,0.00,0.16,0.06,0.07,0.14,0.06,0.14
1411,Luca de la Torre,us USA,MF,Celta Vigo,es La Liga,25,1998,31,22,1956,21.7,1,4,5,1,0,0,4,1,2.5,2.5,1.4,3.9,58,93,88,0.05,0.18,0.23,0.05,0.23,0.11,0.07,0.18,0.11,0.18
1412,Gaëtan Laborde,fr FRA,"FW,MF",Nice,fr Ligue 1,29,1994,34,22,1906,21.2,5,2,7,4,1,2,2,0,7.7,6.1,1.8,7.9,33,46,161,0.24,0.09,0.33,0.19,0.28,0.36,0.08,0.45,0.29,0.37
1413,Alexandre Lacazette,fr FRA,FW,Lyon,fr Ligue 1,32,1991,29,27,2293,25.5,19,2,21,17,2,2,3,1,11.4,9.8,1.9,11.7,22,61,144,0.75,0.08,0.82,0.67,0.75,0.45,0.07,0.52,0.39,0.46
1414,Maxence Lacroix,fr FRA,DF,Wolfsburg,de Bundesliga,23,2000,28,27,2362,26.2,4,1,5,4,0,0,5,3,0.8,0.8,0.8,1.7,5,79,5,0.15,0.04,0.19,0.15,0.19,0.03,0.03,0.06,0.03,0.06
1415,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,24,1999,28,28,2496,27.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1416,Yoel Lago,es ESP,DF,Celta Vigo,es La Liga,19,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1417,Aïssa Laïdouni,tn TUN,MF,Union Berlin,de Bundesliga,26,1996,23,10,1071,11.9,0,3,3,0,0,0,2,0,0.7,0.7,1.0,1.7,24,56,41,0.00,0.25,0.25,0.00,0.25,0.06,0.09,0.14,0.06,0.14
1418,Konrad Laimer,at AUT,"DF,MF",Bayern Munich,de Bundesliga,26,1997,29,18,1772,19.7,0,3,3,0,0,0,3,0,1.0,1.0,3.9,4.9,62,127,98,0.00,0.15,0.15,0.00,0.15,0.05,0.20,0.25,0.05,0.25
1419,Stefan Lainer,at AUT,"DF,MF",Gladbach,de Bundesliga,30,1992,15,8,751,8.3,0,1,1,0,0,0,2,0,0.2,0.2,0.7,0.9,15,37,31,0.00,0.12,0.12,0.00,0.12,0.02,0.08,0.11,0.02,0.11
1420,Kenny Lala,mg MAD,DF,Brest,fr Ligue 1,31,1991,33,33,2970,33.0,2,3,5,2,0,0,7,0,0.5,0.5,3.3,3.8,45,200,98,0.06,0.09,0.15,0.06,0.15,0.01,0.10,0.12,0.01,0.12
1421,Adam Lallana,eng ENG,"MF,FW",Brighton,eng Premier League,35,1988,25,13,850,9.4,0,1,1,0,0,0,2,0,0.8,0.8,1.7,2.5,9,39,55,0.00,0.11,0.11,0.00,0.11,0.09,0.18,0.27,0.09,0.27
1422,Mathis Lambourde,fr FRA,FW,Rennes,fr Ligue 1,17,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1423,Érik Lamela,ar ARG,"FW,MF",Sevilla,es La Liga,31,1992,13,5,463,5.1,2,0,2,2,0,0,3,0,1.0,1.0,1.0,2.0,11,17,28,0.39,0.00,0.39,0.39,0.39,0.19,0.19,0.38,0.19,0.38
1424,Mohamed Lamine Bayo,gn GUI,FW,Le Havre,fr Ligue 1,25,1998,22,16,1389,15.4,5,1,6,3,2,2,4,0,7.2,5.7,0.6,6.2,18,20,115,0.32,0.06,0.39,0.19,0.26,0.47,0.04,0.51,0.37,0.40
1425,Didier Lamkel Zé,cm CMR,"FW,MF",Metz,fr Ligue 1,26,1996,9,7,550,6.1,1,0,1,1,0,0,1,0,1.6,1.6,0.9,2.5,15,19,23,0.16,0.00,0.16,0.16,0.16,0.26,0.15,0.41,0.26,0.41
1426,Tariq Lamptey,gh GHA,"DF,FW",Brighton,eng Premier League,22,2000,19,10,914,10.2,0,3,3,0,0,0,3,0,0.4,0.4,1.2,1.7,39,17,64,0.00,0.30,0.30,0.00,0.30,0.04,0.12,0.16,0.04,0.16
1427,Bruno Langa,mz MOZ,DF,Almería,es La Liga,25,1997,11,9,820,9.1,1,0,1,1,0,0,1,1,0.2,0.2,0.4,0.5,14,25,30,0.11,0.00,0.11,0.11,0.11,0.02,0.04,0.06,0.02,0.06
1428,Gianluca Lapadula,pe PER,FW,Cagliari,it Serie A,33,1990,23,14,1205,13.4,3,1,4,2,1,1,3,0,4.8,4.1,1.1,5.1,8,4,63,0.22,0.07,0.30,0.15,0.22,0.36,0.08,0.44,0.30,0.38
1429,Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,29,1994,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27
1430,Julien Laporte,fr FRA,DF,Lorient,fr Ligue 1,29,1993,23,20,1818,20.2,0,0,0,0,0,0,4,0,0.8,0.8,0.0,0.8,5,56,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
1431,Cyle Larin,ca CAN,FW,Mallorca,es La Liga,28,1995,35,20,1823,20.3,3,2,5,3,0,0,8,0,9.0,9.0,1.4,10.4,20,13,103,0.15,0.10,0.25,0.15,0.25,0.45,0.07,0.52,0.45,0.52
1432,Yasser Larouci,dz ALG,DF,Sheffield Utd,eng Premier League,22,2001,11,6,531,5.9,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,18,14,12,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09
1433,Hugo Larsson,se SWE,MF,Eint Frankfurt,de Bundesliga,19,2004,29,21,1886,21.0,2,1,3,2,0,0,1,0,1.3,1.3,1.4,2.7,26,68,42,0.10,0.05,0.14,0.10,0.14,0.06,0.07,0.13,0.06,0.13
1434,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,29,1993,16,13,1080,12.0,1,0,1,1,0,0,4,0,0.7,0.7,0.1,0.8,8,31,3,0.08,0.00,0.08,0.08,0.08,0.06,0.01,0.07,0.06,0.07
1435,Juanmi Latasa,es ESP,FW,Getafe,es La Liga,22,2001,32,15,1555,17.3,2,0,2,2,0,0,7,1,3.6,3.5,1.5,5.0,7,16,82,0.12,0.00,0.12,0.12,0.12,0.21,0.09,0.29,0.20,0.29
1436,Toni Lato,es ESP,DF,Mallorca,es La Liga,25,1997,28,16,1544,17.2,0,1,1,0,0,0,3,0,0.2,0.2,1.3,1.6,30,39,110,0.00,0.06,0.06,0.00,0.06,0.01,0.08,0.09,0.01,0.09
1437,Armand Lauriente,fr FRA,FW,Sassuolo,it Serie A,24,1998,37,35,2908,32.3,5,4,9,5,0,0,5,0,5.7,5.7,4.0,9.7,125,99,268,0.15,0.12,0.28,0.15,0.28,0.18,0.12,0.30,0.18,0.30
1438,Roméo Lavia,be BEL,MF,Chelsea,eng Premier League,19,2004,1,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
